
**********************************************************************
*                            QDeep                                   *
*        Protein sinlge-model quality assessment using ResNet        *
*       For comments, please email to bhattacharyad@auburn.edu       *
**********************************************************************
Processing started for: T0865

#-----------Validating input files-----------#
#                                            #
#--------------------------------------------#
Checking fasta file: OK
Checking aln file: OK
Checking distance file: OK
Checking PSSM file: OK
Checking SPIDER3 output file: OK
Total pdb file(s) accepted: 151


#------------Generating features-------------#
#                                            #
#--------------------------------------------#
Processing SS and SA...
DONE!

Calculating energy terms...
DONE!

Calculating NEFF...
MULTICOM-REFINE_TS1: 0.4633333333333334
MULTICOM-REFINE_TS2: 0.44333333333333336
MULTICOM-REFINE_TS3: 0.4633333333333334
MULTICOM-REFINE_TS4: 0.4733333333333333
MULTICOM-REFINE_TS5: 0.45999999999999996
MUfold1_TS1: 0.6066666666666667
MUfold1_TS2: 0.7233333333333334
MUfold1_TS3: 0.3733333333333333
MUfold2_TS2: 0.7327586206896552
MUfold2_TS3: 0.7166666666666667
MUfold2_TS4: 0.4827586206896552
MUfold2_TS5: 0.37
Pareto-server_TS1: 0.5233333333333333
Pareto-server_TS2: 0.6166666666666667
Pareto-server_TS3: 0.39
Pareto-server_TS4: 0.62
Pareto-server_TS5: 0.37
Pcons-net_TS1: 0.3733333333333333
Pcons-net_TS2: 0.2966666666666667
Pcons-net_TS3: 0.5633333333333334
Pcons-net_TS4: 0.39333333333333337
Pcons-net_TS5: 0.45666666666666667
PhyreTopoAlpha_TS2: 0.42
PhyreTopoAlpha_TS4: 0.5933333333333333
QUARK_TS1: 0.7133333333333334
QUARK_TS2: 0.32333333333333336
QUARK_TS3: 0.5633333333333334
QUARK_TS4: 0.5
QUARK_TS5: 0.6533333333333333
RBO_Aleph_TS1: 0.47000000000000003
RBO_Aleph_TS2: 0.41000000000000003
RBO_Aleph_TS3: 0.5033333333333334
RBO_Aleph_TS4: 0.43
RaptorX-Contact_TS1: 0.4666666666666667
RaptorX-Contact_TS2: 0.4033333333333333
RaptorX-Contact_TS4: 0.4766666666666667
RaptorX-Contact_TS5: 0.49
RaptorX_TS1: 0.5066666666666667
Seok-server_TS1: 0.5933333333333334
Seok-server_TS2: 0.43666666666666676
Seok-server_TS3: 0.5866666666666667
Seok-server_TS4: 0.5233333333333333
Seok-server_TS5: 0.5
T0865: 0.7620967741935484
ToyPred_email_TS1: 0.5066666666666667
YASARA_TS1: 0.5208333333333333
YASARA_TS2: 0.7222222222222221
YASARA_TS3: 0.4033333333333333
YASARA_TS4: 0.4466666666666667
YASARA_TS5: 0.32999999999999996
ZHOU-SPARKS-X_TS2: 0.2033333333333333
ZHOU-SPARKS-X_TS3: 0.37
Zhang-Server_TS1: 0.6233333333333333
Zhang-Server_TS2: 0.43666666666666665
Zhang-Server_TS3: 0.3566666666666667
Zhang-Server_TS4: 0.5733333333333334
chuo-u-server_TS1: 0.44999999999999996
chuo-u-server_TS2: 0.4833333333333333
chuo-u-server_TS3: 0.32666666666666666
chuo-u-server_TS4: 0.31666666666666665
chuo-u-server_TS5: 0.41666666666666663
chuo-u2_TS1: 0.44999999999999996
chuo-u2_TS2: 0.4833333333333333
chuo-u2_TS3: 0.32666666666666666
chuo-u2_TS4: 0.31666666666666665
chuo-u2_TS5: 0.41666666666666663
myprotein-me_TS2: 0.57
myprotein-me_TS3: 0.46
myprotein-me_TS4: 0.32999999999999996
myprotein-me_TS5: 0.5633333333333334
slbio_TS2: 0.49333333333333335
slbio_TS3: 0.5766666666666667
slbio_TS4: 0.24666666666666665
tsspred2_TS1: 0.6833333333333333
tsspred2_TS2: 0.4766666666666667
tsspred2_TS3: 0.6166666666666667
tsspred2_TS4: 0.5933333333333334
tsspred2_TS5: 0.6966666666666667

Congratulations! All process are successfully done!
See QDeep out: T0865/T0865.score

